source,target,value
Handler,Handler,4516.08
ParallelGC,ParallelGC,2507.06
VMThread,Handler,206.31
SocketReader,Handler,133.39
BlockReportProc,Handler,108.25
Handler,Disk,100.64
NIC,Handler,89.58
ParallelGC,VMThread,89.40
Disk,Handler,81.78
JBDThread,Handler,78.97
VMThread,SocketReader,49.32
VMThread,VMThread1,11.17
JBDThread,Disk,9.38
VMThread,BlockReportProc,7.07
JBDThread,BlockReportProc,4.94
VMThread,ParallelGC,2.43
Handler,BlockReportProc,0.89
Disk,JBDThread,0.76
Handler,VMThread,0.25
SocketReader,VMThread,0.24
BlockReportProc,SocketReader,0.11
BlockReportProc,VMThread,0.11
Kworker,Disk,0.07
Handler,SocketReader,0.02
VMThread1,VMThread,0.01
Disk,Kworker,0.01
