source,target,value
Worker,Worker,1378.99
PurgerCoord,Worker,228.30
IOThread,IOThread,106.43
SrvWorker,PurgerCoord,83.96
Cleaner,Worker,79.87
NIC,Worker,75.07
IOThread,Cleaner,67.85
IOThread,Worker,53.80
DictThread,Worker,35.01
PurgerCoord,IOThread,17.37
Worker,IOThread,16.70
Worker,NIC,14.49
SrvWorker,IOThread,11.59
LockWait,Worker,11.39
SrvWorker,SrvWorker,11.21
PurgerCoord,SrvWorker,6.73
Cleaner,IOThread,5.41
SrvWorker,Worker,5.09
IOThread,PurgerCoord,0.92
Worker,SrvWorker,0.92
SrvMaster,Worker,0.86
Worker,Cleaner,0.71
PurgerCoord,Cleaner,0.66
Cleaner,SrvWorker,0.42
Worker,PurgerCoord,0.36
Cleaner,PurgerCoord,0.34
SrvWorker,Cleaner,0.08
Cleaner,SrvMaster,0.07
SrvMaster,Cleaner,0.05
DictThread,PurgerCoord,0.03
PurgerCoord,DictThread,0.02
Worker,DictThread,0.01
Cleaner,DictThread,0.01
DictThread,SrvWorker,0.01
Worker,SrvMaster,0.01
IOThread,DictThread,0.01
SrvWorker,DictThread,0.00
