source,target,value
Worker,Worker,786.16
CleanerCoord,Worker,188.73
PurgerCoord,Worker,162.72
Cleaner,CleanerCoord,78.25
SrvWorker,PurgerCoord,75.69
NIC,Worker,70.24
IOThread,Cleaner,51.59
CleanerCoord,IOThread,22.81
IOThread,CleanerCoord,21.15
Cleaner,IOThread,21.08
LockWait,Worker,13.92
CleanerCoord,SrvWorker,13.88
Worker,NIC,10.34
CleanerCoord,PurgerCoord,6.96
CleanerCoord,Cleaner,5.63
SrvWorker,SrvWorker,2.82
SrvWorker,Worker,2.13
PurgerCoord,SrvWorker,1.81
Cleaner,Cleaner,0.34
Cleaner,Worker,0.24
PurgerCoord,IOThread,0.14
IOThread,Worker,0.12
IOThread,IOThread,0.10
Worker,CleanerCoord,0.10
Worker,IOThread,0.08
Worker,SrvWorker,0.06
Worker,PurgerCoord,0.04
PurgerCoord,CleanerCoord,0.03
Worker,Cleaner,0.02
Cleaner,PurgerCoord,0.01
SrvWorker,CleanerCoord,0.00
