source,target,value
KworkerHP,KworkerHP,1033.50
JBDThread,Disk,719.38
PurgeCoord,Worker,330.61
Worker,Worker,279.16
NIC,Worker,89.90
Worker,IOThread,78.83
CleanerCoord,JBDThread,68.66
Worker,JBDThread,64.45
Disk,KworkerHP,62.80
KworkerHP,Disk,41.65
MasterThread,IOThread,31.84
Disk,JBDThread,16.19
MasterThread,JBDThread,14.75
IOThread,CleanerCoord,13.62
JBDThread,Worker,9.51
CleanerCoord,Disk,8.46
JBDThread,MasterThread,7.41
IOThread,IOThread,7.02
MasterThread,Worker,6.34
JBDThread,CleanerCoord,5.52
IOThread,Worker,4.49
Worker,NIC,3.69
IOThread,MasterThread,2.98
CleanerCoord,Worker,2.33
Worker,MasterThread,1.73
Kworker,Disk,1.14
Worker,Disk,0.67
MasterThread,CleanerCoord,0.53
CleanerCoord,MasterThread,0.47
MasterThread,Disk,0.44
Disk,CleanerCoord,0.19
Disk,Worker,0.09
JBDThread,Kworker,0.89
Worker,CleanerCoord,0.08
Disk,Kworker,0.03
Disk,MasterThread,0.01
