source,target,value
ParallelGC,ParallelGC,2548.91
JBDThread,Disk,767.39
SyncThread,JBDThread,721.92
NIOServerCxn,SyncThread,561.17
VMThread,SyncThread,369.92
SyncThread,Disk,272.87
ProcessThread,NIOServerCxn,262.45
VMThread,NIOServerCxn,241.97
VMThread,ProcessThread,199.60
ParallelGC,VMThread,91.70
KworkerHP(Disk),Disk,89.47
Disk,JBDThread,60.97
KworkerHP(Network),NIC,55.54
NIC,SyncThread,44.56
JBDThread,SyncThread,43.09
KworkerHP(Network),Kworker(Network),22.99
Disk,SyncThread,21.68
CompilerThread,SyncThread,20.26
CompilerThread,NIOServerCxn,13.48
CompilerThread,ProcessThread,8.31
Disk,KworkerHP(Disk),7.11
VMThread,ParallelGC,3.13
SyncThread,VMThread,2.79
NIOServerCxn,VMThread,1.36
ProcessThread,VMThread,0.66
Kworker(Network),Disk,0.54
NIOServerCxn,ProcessThread,0.34
SyncThread,NIOServerCxn,0.26
SyncThread,ProcessThread,0.05
VMPeriodicThread,Disk,0.03
ProcessThread,SyncThread,0.02
