source,target,value
ParallelGC,ParallelGC,2463.49
VMThread,SyncThread,416.98
ProcessThread,NIOServerCxn,291.52
VMThread,NIOServerCxn,202.48
SyncThread,ProcessThread,199.81
VMThread,ProcessThread,177.22
NIOServerCxn,NIC,110.86
ParallelGC,VMThread,88.92
NIOServerCxn,SyncThread,18.72
CompilerThread,NIOServerCxn,15.03
CompilerThread,SyncThread,14.98
NIC,SyncThread,4.30
VMThread,ParallelGC,3.31
NIC,NIOServerCxn,3.04
NIOServerCxn,VMThread,2.01
SyncThread,VMThread,1.07
SyncThread,NIOServerCxn,1.05
ProcessThread,VMThread,0.87
NIOServerCxn,ProcessThread,0.26
ProcessThread,SyncThread,0.02
